1,"Intelligent Systems"
2,"Communication Engineering"
3,"Advanced Computer Application"
4,"Database Engineering"
5,"Communication Engineering"
6,"Advanced Computer Application"
7,"Advanced Computer Application"
8,"Biomedical, Bio-Informatics & Biotechnology"
9,"Advanced Computer Application"
10,"Electronic, Microwave Devices & Circuits"
11,"Embedded Systems and Applications"
12,"Algorithms"
13,"Algorithms"
14,"Biomedical, Bio-Informatics & Biotechnology"
15,"Communication Engineering"
16,"Algorithms"
17,"Electronic, Microwave Devices & Circuits"
18,"Communication Engineering"
19,"Electronic, Microwave Devices & Circuits"
20,"Algorithms"
21,"Advanced Computer Application"
22,"Algorithms"
23,"Database Engineering"
24,"Communication Engineering"
25,"Embedded Systems and Applications"
26,"Intelligent Systems"
27,"Electronic, Microwave Devices & Circuits"
28,"Advanced Computer Application"
30,"Communication Engineering"
31,"Intelligent Systems"
32,"Embedded Systems and Applications"
33,"Advanced Computer Application"
34,"Database Engineering"
36,"Embedded Systems and Applications"
37,"Advanced Computer Application"
38,"Advanced Computer Application"
39,"Advanced Computer Application"
40,"Advanced Computer Application"
41,"Green Technology & Environmental Science"
42,"Communication Engineering"
43,"Communication Engineering"
44,"Electronic, Microwave Devices & Circuits"
45,"Electronic, Microwave Devices & Circuits"
46,"Biomedical, Bio-Informatics & Biotechnology"
47,"Advanced Computer Application"
48,"Advanced Computer Application"
49,"Communication Engineering"
50,"Database Engineering"
51,"Database Engineering"
52,"Electronic, Microwave Devices & Circuits"
54,"Intelligent Systems"
55,"Algorithms"
56,"Advanced Computer Application"
57,"Communication Engineering"
58,"Communication Engineering"
59,"Advanced Computer Application"
60,"Intelligent Systems"
61,"Advanced Computer Application"
62,"Green Technology & Environmental Science"
63,"Advanced Computer Application"
64,"Embedded Systems and Applications"
66,"Advanced Computer Application"
67,"Electronic, Microwave Devices & Circuits"
68,"Electronic, Microwave Devices & Circuits"
69,"Algorithms"
70,"Advanced Computer Application"
71,"Algorithms"
72,"Database Engineering"
73,"Intelligent Systems"
74,"Communication Engineering"
75,"Algorithms"
76,"Advanced Computer Application"
77,"Embedded Systems and Applications"
79,"Algorithms"
80,"Database Engineering"
81,"Intelligent Systems"
82,"Communication Engineering"
84,"Advanced Computer Application"
85,"Communication Engineering"
86,"Advanced Computer Application"
87,"Intelligent Systems"
88,"Database Engineering"
89,"Communication Engineering"
90,"Advanced Computer Application"
91,"Advanced Computer Application"
93,"Communication Engineering"
94,"Database Engineering"
95,"Algorithms"
96,"Communication Engineering"
97,"Biomedical, Bio-Informatics & Biotechnology"
98,"Communication Engineering"
99,"Advanced Computer Application"
100,"Database Engineering"
101,"Algorithms"
102,"Database Engineering"
103,"Algorithms"
104,"Biomedical, Bio-Informatics & Biotechnology"
106,"Communication Engineering"
107,"Algorithms"
108,"Embedded Systems and Applications"
109,"Electronic, Microwave Devices & Circuits"
110,"Database Engineering"
111,"Advanced Computer Application"
112,"Biomedical, Bio-Informatics & Biotechnology"
113,"Advanced Computer Application"
114,"Electronic, Microwave Devices & Circuits"
115,"Intelligent Systems"
116,"Advanced Computer Application"
117,"Advanced Computer Application"
118,"Advanced Computer Application"
119,"Algorithms"
120,"Communication Engineering"
121,"Biomedical, Bio-Informatics & Biotechnology"
122,"Algorithms"
123,"Intelligent Systems"
124,"Communication Engineering"
127,"Algorithms"
128,"Advanced Computer Application"
129,"Green Technology & Environmental Science"
130,"Communication Engineering"
131,"Advanced Computer Application"
132,"Electronic, Microwave Devices & Circuits"
133,"Electronic, Microwave Devices & Circuits"
134,"Advanced Computer Application"
135,"Communication Engineering"
136,"Advanced Computer Application"
137,"Intelligent Systems"
138,"Advanced Computer Application"
139,"Communication Engineering"
140,"Intelligent Systems"
141,"Embedded Systems and Applications"
142,"Communication Engineering"
143,"Advanced Computer Application"
144,"Communication Engineering"
145,"Communication Engineering"
146,"Embedded Systems and Applications"
147,"Advanced Computer Application"
148,"Advanced Computer Application"
149,"Algorithms"
150,"Advanced Computer Application"
151,"Database Engineering"
152,"Intelligent Systems"
153,"Algorithms"
154,"Communication Engineering"
155,"Intelligent Systems"
156,"Advanced Computer Application"
157,"Electronic, Microwave Devices & Circuits"
158,"Communication Engineering"
159,"Database Engineering"
160,"Electronic, Microwave Devices & Circuits"
161,"Communication Engineering"
162,"Database Engineering"
163,"Intelligent Systems"
164,"Electronic, Microwave Devices & Circuits"
165,"Communication Engineering"
166,"Advanced Computer Application"
167,"Communication Engineering"
168,"Intelligent Systems"
169,"Embedded Systems and Applications"
170,"Communication Engineering"
171,"Advanced Computer Application"
172,"Advanced Computer Application"
173,"Advanced Computer Application"
174,"Advanced Computer Application"
175,"Algorithms"
176,"Advanced Computer Application"
177,"Intelligent Systems"
178,"Intelligent Systems"
179,"Embedded Systems and Applications"
180,"Advanced Computer Application"
181,"Electronic, Microwave Devices & Circuits"
182,"Advanced Computer Application"
183,"Algorithms"
184,"Database Engineering"
185,"Advanced Computer Application"
186,"Algorithms"
187,"Database Engineering"
188,"Algorithms"
189,"Intelligent Systems"
190,"Communication Engineering"
191,"Communication Engineering"
193,"Database Engineering"
194,"Database Engineering"
195,"Database Engineering"
196,"Database Engineering"
197,"Algorithms"
198,"Algorithms"
199,"Electronic, Microwave Devices & Circuits"
200,"Intelligent Systems"
201,"Communication Engineering"
202,"Communication Engineering"
203,"Advanced Computer Application"
204,"Communication Engineering"
205,"Advanced Computer Application"
206,"Intelligent Systems"
209,"Algorithms"
210,"Algorithms"
212,"Advanced Computer Application"
213,"Database Engineering"
214,"Advanced Computer Application"
215,"Electronic, Microwave Devices & Circuits"
216,"Algorithms"
217,"Database Engineering"
218,"Database Engineering"
219,"Algorithms"
220,"Communication Engineering"
221,"Advanced Computer Application"
222,"Advanced Computer Application"
223,"Electronic, Microwave Devices & Circuits"
224,"Electronic, Microwave Devices & Circuits"
225,"Intelligent Systems"
226,"Advanced Computer Application"
227,"Communication Engineering"
228,"Algorithms"
229,"Embedded Systems and Applications"
230,"Green Technology & Environmental Science"
231,"Algorithms"
232,"Communication Engineering"
233,"Biomedical, Bio-Informatics & Biotechnology"
234,"Intelligent Systems"
